object_name,scene_48_add,scene_49_add,scene_50_add,scene_51_add,scene_52_add,scene_53_add,scene_54_add,scene_55_add,scene_56_add,scene_57_add,scene_58_add,scene_59_add,scene_48_add-s,scene_49_add-s,scene_50_add-s,scene_51_add-s,scene_52_add-s,scene_53_add-s,scene_54_add-s,scene_55_add-s,scene_56_add-s,scene_57_add-s,scene_58_add-s,scene_59_add-s,mean_add,mean_add-s
master_chef_can,2.70,NaN,NaN,1.54,NaN,NaN,NaN,6.56,39.19,NaN,NaN,NaN,4.05,NaN,NaN,1.54,NaN,NaN,NaN,8.20,39.19,NaN,NaN,NaN,12.50,13.24
cracker_box,NaN,NaN,41.33,NaN,NaN,NaN,1.59,NaN,NaN,NaN,NaN,11.43,NaN,NaN,45.33,NaN,NaN,NaN,3.17,NaN,NaN,NaN,NaN,22.86,18.12,23.79
sugar_box,NaN,5.33,NaN,10.81,NaN,NaN,0.00,0.00,NaN,NaN,14.81,NaN,NaN,5.33,NaN,12.16,NaN,NaN,0.00,0.00,NaN,NaN,18.52,NaN,6.19,7.20
tomato_soup_can,NaN,NaN,0.00,13.33,NaN,5.33,NaN,1.35,NaN,1.33,NaN,0.00,NaN,NaN,3.70,20.00,NaN,14.67,NaN,1.35,NaN,2.67,NaN,0.00,3.56,7.06
mustard_bottle,NaN,NaN,13.33,NaN,18.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.00,NaN,24.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,16.00,20.00
tuna_fish_can,18.67,0.00,NaN,NaN,6.67,NaN,NaN,NaN,NaN,NaN,NaN,12.00,22.67,0.00,NaN,NaN,9.33,NaN,NaN,NaN,NaN,NaN,NaN,16.00,9.33,12.00
pudding_box,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,0.00,0.00
gelatin_box,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.08,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,3.08,NaN,3.08,3.08
potted_meat_can,NaN,12.00,NaN,NaN,NaN,14.86,NaN,NaN,NaN,NaN,NaN,10.81,NaN,16.00,NaN,NaN,NaN,18.92,NaN,NaN,NaN,NaN,NaN,12.16,12.56,15.69
banana,NaN,NaN,30.14,NaN,NaN,NaN,NaN,NaN,15.87,NaN,NaN,NaN,NaN,NaN,36.99,NaN,NaN,NaN,NaN,NaN,19.05,NaN,NaN,NaN,23.01,28.02
pitcher_base,NaN,NaN,NaN,NaN,19.51,NaN,NaN,NaN,48.08,NaN,23.53,NaN,NaN,NaN,NaN,NaN,21.95,NaN,NaN,NaN,55.77,NaN,29.41,NaN,30.37,35.71
bleach_cleanser,NaN,NaN,NaN,52.70,NaN,NaN,30.67,1.35,NaN,0.00,NaN,NaN,NaN,NaN,NaN,54.05,NaN,NaN,38.67,4.05,NaN,3.33,NaN,NaN,21.18,25.03
bowl,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,0.00,0.00
mug,18.92,NaN,NaN,NaN,NaN,NaN,NaN,5.88,NaN,NaN,NaN,NaN,27.03,NaN,NaN,NaN,NaN,NaN,NaN,7.35,NaN,NaN,NaN,NaN,12.40,17.19
power_drill,NaN,NaN,0.00,NaN,NaN,NaN,37.33,NaN,45.33,NaN,NaN,16.00,NaN,NaN,0.00,NaN,NaN,NaN,38.67,NaN,48.00,NaN,NaN,18.67,24.67,26.33
wood_block,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,0.00,0.00
scissor,NaN,NaN,NaN,2.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,5.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,2.67,5.33
large_marker,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1.33,NaN,9.33,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,9.33,NaN,24.00,5.33,16.67
large_clamp,0.00,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,2.67,NaN,NaN,NaN,NaN,NaN,5.33,NaN,NaN,NaN,NaN,NaN,0.00,4.00
extra_large_clamp,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,10.67,NaN,NaN,6.67,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,18.67,NaN,NaN,5.33,12.67
foam_brick,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.00,NaN,NaN,0.00,0.00
