object_name,mean_add (%),mean_add-s (%)
master_chef_can,0.00,0.00
cracker_box,0.00,0.00
sugar_box,0.00,0.00
tomato_soup_can,0.00,0.00
mustard_bottle,0.00,0.00
tuna_fish_can,0.00,0.00
pudding_box,0.00,0.00
gelatin_box,0.00,0.00
potted_meat_can,0.00,0.00
banana,0.00,0.00
pitcher_base,0.00,0.00
bleach_cleanser,0.00,0.00
bowl,0.00,0.00
mug,0.00,0.68
power_drill,0.00,0.00
wood_block,0.00,0.00
scissor,0.00,0.00
large_marker,0.67,0.67
large_clamp,0.00,0.00
extra_large_clamp,0.00,0.00
foam_brick,0.00,0.00
